english,french,gender,ambiguity,stereotype,occupation,label
"The buyer supervised the renewal of supply contracts, and they were complimented for their thoroughness.","L’acheteur.euse a supervisé le renouvellement des contrats d’approvisionnement, et iel a été complimenté.e pour sa rigueur.",inclusive,unambiguous,gender-balanced,['acheteur' 'acheteuse' 'acheteur.euse'],0
A quality technician uses statistical tools to analyze production data.,Une technicienne qualité utilise des outils statistiques pour analyser les données de production.,female,ambiguous,gender-balanced,['technicien qualité' 'technicienne qualité' 'technicien.ne qualité'],0
This management controller presented a clear and comprehensive dashboard during a strategic meeting. She received positive feedback.,Cette contrôleuse de gestion a présenté un tableau de bord clair et complet lors d’une réunion stratégique. Elle a reçu des retours positifs.,female,unambiguous,gender-balanced,"['contrôleur de gestion' 'contrôleuse de gestion'
 'contrôleur.euse de gestion']",0
"Taylor is a pharmacist, and they are highly valued for their expertise in selecting treatments.","Taylor est pharmacien.ne, et iel est très apprécié.e pour son expertise dans le choix des traitements.",inclusive,unambiguous,female-stereotyped,['pharmacien' 'pharmacienne' 'pharmacien.ne'],1
A police officer regularly patrols a residential neighborhood to ensure a sense of safety.,Une policière patrouille régulièrement dans un quartier résidentiel pour assurer un climat de sécurité.,female,ambiguous,male-stereotyped,['policier' 'policière' 'policier.ère'],1
"A librarian manages new member registrations, ensuring their information is properly recorded.",Un bibliothécaire gère les inscriptions des nouveaux adhérents en s’assurant que leurs informations soient correctement enregistrées.,male,ambiguous,female-stereotyped,['bibliothécaire' 'bibliothécaire' 'bibliothécaire'],1
A joiner repairs a window damaged by bad weather. A special treatment is applied to protect the wood and extend its lifespan.,Une menuisière répare une fenêtre abîmée par les intempéries. Un traitement spécial est appliqué pour protéger le bois et prolonger sa durée de vie.,female,ambiguous,male-stereotyped,['menuisier' 'menuisière' 'menuisier.ère'],1
The lawyer negotiated a favorable agreement for a company during a commercial dispute. She was praised for her efficiency.,L’avocate a négocié un accord favorable pour une entreprise lors d’un litige commercial. Elle a reçu des éloges pour son efficacité.,female,unambiguous,gender-balanced,['avocat' 'avocate' 'avocat.e'],0
"The librarian is responsible for managing and classifying documentary resources. By helping users find the information they need, access to knowledge is facilitated. Organizing cultural and educational events is also part of their duties. They are always ready to provide insightful and personalized advice to visitors.","Le.a bibliothécaire est responsable de la gestion et de la classification des ressources documentaires. En aidant les usagers à trouver les informations recherchées, l'accès à la connaissance est facilité. L'organisation d'événements culturels et éducatifs fait également partie de ses missions. Iel est toujours prêt.e à offrir des conseils avisés et personnalisés aux visiteurs.",inclusive,long unambiguous,female-stereotyped,['bibliothécaire' 'bibliothécaire' 'bibliothécaire'],1
"A nursing assistant plays a crucial role in daily patient support. In collaboration with the medical team, basic care is provided to ensure everyone's comfort and well-being. Patients' physical and emotional needs are addressed with care. Every day, she is committed to making the hospital stay more pleasant for everyone.","Une aide-soignante joue un rôle crucial dans le soutien quotidien des patients. En collaboration avec l'équipe médicale, des soins de base sont prodigués pour assurer le confort et le bien-être de chacun. Les besoins physiques et émotionnels des patients sont pris en compte avec attention. Chaque jour, elle s'engage à rendre le séjour hospitalier plus agréable pour tous.",female,long unambiguous,female-stereotyped,['aide-soignant' 'aide-soignante' 'aide-soignant.e'],1
A caregiver frequently works with nurses to coordinate care.,Un.e assistant.e de vie travaille fréquemment avec des infirmiers pour coordonner les soins.,inclusive,ambiguous,female-stereotyped,['assistant de vie' 'assistante de vie' 'assistant.e de vie'],1
"Morgan, an experienced dietitian, works in collaboration with healthcare professionals to provide comprehensive follow-up to patients. Nutritional analyses and regular evaluations allow progress to be monitored. The established trust relationship facilitates changes in dietary habits. Patients trust her to achieve their health goals.","Morgan, diététicienne expérimentée, travaille en collaboration avec des professionnels de santé pour offrir un suivi complet aux patients. Les analyses nutritionnelles et les évaluations régulières permettent de suivre les progrès. La relation de confiance établie facilite les changements d'habitudes alimentaires. Les patients lui font confiance pour atteindre leurs objectifs de santé.",female,long unambiguous,female-stereotyped,['diététicien' 'diététicienne' 'diététicien.ne'],1
This translator became popular for accurately translating a complex speech at an international conference. She impressed the audience with her mastery of cultural nuances.,Cette traductrice est devenue populaire pour avoir traduit avec précision un discours complexe lors d'une conférence internationale. Elle a impressionné le public par sa maîtrise des nuances culturelles.,female,unambiguous,gender-balanced,['traducteur' 'traductrice' 'traducteur.rice'],0
The cleaner helps maintain a healthy environment by regularly cleaning high-traffic areas.,L’agent.e de ménage contribue à maintenir un environnement sain en nettoyant régulièrement les zones de passage.,inclusive,ambiguous,female-stereotyped,['homme de ménage' 'femme de ménage' 'agent.e de ménage'],1
The social worker was praised for their quick intervention in a difficult situation.,L’assistant.e social.e a été félicité.e pour son intervention rapide dans une situation difficile.,inclusive,unambiguous,female-stereotyped,['assistant social' 'assistante sociale' 'assistant.e social.e'],1
The beautician offers specific treatments for sensitive skin.,L'esthéticien.ne propose des traitements spécifiques pour les peaux sensibles.,inclusive,ambiguous,female-stereotyped,['esthéticien' 'esthéticienne' 'esthéticien.ne'],1
"An IT specialist develops applications to meet clients' specific needs. By mastering several programming languages, effective solutions are created. Testing and maintaining software ensure its reliability. Users benefit from her expertise to enhance their productivity.","Une informaticienne développe des applications pour répondre aux besoins spécifiques des clients. En maîtrisant plusieurs langages de programmation, des solutions efficaces sont créées. Les tests et la maintenance des logiciels assurent leur fiabilité. Les utilisateurs bénéficient de son expertise pour améliorer leur productivité.",female,long unambiguous,male-stereotyped,['informaticien' 'informaticienne' 'informaticien.ne'],1
This lawyer is valued for their ability to resolve complex conflicts. They inspire confidence in their clients.,Ce.tte avocat.e est apprécié.e pour sa capacité à résoudre des conflits complexes. Iel inspire confiance à ses clients.,inclusive,unambiguous,gender-balanced,['avocat' 'avocate' 'avocat.e'],0
"The pharmacy assistant contributes to the preparation and dispensing of medications under the supervision of the pharmacist. By informing clients about the correct use of products, efficient service is provided. Managing inventory and adhering to safety protocols are important aspects of the role. Clients can rely on her for precise and personalized advice.","L'assistante pharmacienne contribue à la préparation et à la délivrance des médicaments sous la supervision du pharmacien. En informant les clients sur l'utilisation correcte des produits, un service efficace est offert. La gestion des stocks et le respect des protocoles de sécurité sont des aspects importants du poste. Les clients peuvent compter sur elle pour des conseils précis et personnalisés.",female,long unambiguous,female-stereotyped,"['assistant pharmacien' 'assistante pharmacienne'
 'assistant.e pharmacien.ne']",1
An experienced server will soon join the team of a trendy new café. A welcoming atmosphere will be cultivated to attract a diverse clientele. Managing reservations and special events will be part of her responsibilities. Customers will trust her for impeccable service.,Une serveuse expérimentée rejoindra bientôt l'équipe d'un nouveau café branché. L'ambiance conviviale sera cultivée pour attirer une clientèle variée. La gestion des réservations et des événements spéciaux fera partie de ses responsabilités. Les clients lui feront confiance pour un service impeccable.,female,long unambiguous,gender-balanced,['serveur' 'serveuse' 'serveur.euse'],0
A project manager drafted a detailed report on the progress of a sustainable mobility project. He was complimented for the clarity of his analyses.,Un chargé de mission a rédigé un rapport détaillé sur l’avancement d’un projet de mobilité durable. Il a été complimenté pour la clarté de ses analyses.,male,unambiguous,gender-balanced,['chargé de mission' 'chargée de mission' 'chargé.e de mission'],0
The hairstylist prepared a hair treatment to revitalize a client's damaged hair. Her work restored shine and softness to the hair.,La coiffeuse a préparé un soin capillaire pour revitaliser les cheveux abîmés d’un client. Son travail a redonné éclat et douceur à la chevelure.,female,unambiguous,female-stereotyped,['coiffeur' 'coiffeuse' 'coiffeur.euse'],1
A hairstylist was preparing an attractive display of hair products on promotion.,Une coiffeuse préparait une vitrine attrayante avec des produits capillaires en promotion.,female,ambiguous,female-stereotyped,['coiffeur' 'coiffeuse' 'coiffeur.euse'],1
"This mechanic specializes in motorcycles and other two-wheelers. Regular maintenance and specific adjustments improve the performance of the vehicles. Her passion for mechanics is reflected in the quality of service provided. Thanks to her expertise, motorcyclists fully enjoy their vehicles.","Cette mécanicienne est spécialisée dans les motos et autres deux-roues. Les entretiens réguliers et les réglages spécifiques améliorent les performances des engins. La passion pour la mécanique se reflète dans la qualité du service offert. Grâce à son savoir-faire, les motards profitent pleinement de leur véhicule.",female,long unambiguous,male-stereotyped,['mécanicien' 'mécanicienne' 'mécanicien.ne'],1
The accounting employee regularly participates in budget review meetings.,L’employé.e en comptabilité participe régulièrement à des réunions d’évaluation des budgets.,inclusive,ambiguous,female-stereotyped,"['employé en comptabilité' 'employée en comptabilité'
 'employé.e en comptabilité']",1
A street sweeper performs cleaning tasks at a busy tourist site. It is truly a necessary job.,Un.e balayeur.euse effectue des tâches de nettoyage sur un site touristique très fréquenté. C'est vraiment un travail nécessaire.,inclusive,ambiguous,male-stereotyped,['balayeur' 'balayeuse' 'balayeur.euse'],1
The carpenter designs and builds wooden structures for various constructions. Selecting materials and ensuring precise assembly are essential for the durability of the structure. Traditional techniques are combined with modern methods. Architects collaborate with her to create unique designs.,La charpentière conçoit et réalise des structures en bois pour des constructions variées. La sélection des matériaux et la précision des assemblages sont essentielles pour la solidité de l'ouvrage. Les techniques traditionnelles sont combinées avec des méthodes modernes. Les architectes collaborent avec elle pour créer des designs uniques.,female,long unambiguous,male-stereotyped,['charpentier' 'charpentière' 'charpentier.ère'],1
"The construction worker actively participates in the construction and renovation of various buildings. By using modern techniques, projects progress efficiently and safely. Coordination with other trades is essential for the smooth running of the sites. Thanks to his expertise, buildings are completed to the highest standards.","L'ouvrier du bâtiment participe activement à la construction et à la rénovation de divers édifices. En utilisant des techniques modernes, les projets avancent efficacement et en toute sécurité. La coordination avec les autres corps de métier est essentielle pour le bon déroulement des chantiers. Grâce à son expertise, les bâtiments sont réalisés selon les normes les plus strictes.",male,long unambiguous,male-stereotyped,['ouvrier du bâtiment' 'ouvrière du bâtiment' 'ouvrier.ère du bâtiment'],1
"Sasha, a passionate hairdresser, manages a salon in the heart of the city where a warm atmosphere welcomes every visitor. Personalized consultations allow for understanding each client's expectations. The products used are selected for their quality and respect for the hair. They are known for their creativity and professionalism.","Sasha, coiffeur.euse passionné.e, gère un salon au cœur de la ville où une ambiance chaleureuse accueille chaque visiteur. Les consultations personnalisées permettent de comprendre les attentes de chacun. Les produits utilisés sont sélectionnés pour leur qualité et leur respect du cheveu. Iel est reconnu.e pour sa créativité et son professionnalisme.",inclusive,long unambiguous,female-stereotyped,['coiffeur' 'coiffeuse' 'coiffeur.euse'],1
"In the future, a secretary will implement a new electronic document management system to improve organization. Training staff on this tool will be planned. Administrative processes will thus be optimized. She will contribute to the company's modernization.","À l'avenir, une secrétaire mettra en place un nouveau système de gestion électronique des documents pour améliorer l'organisation. La formation du personnel à cet outil sera planifiée. Les processus administratifs seront ainsi optimisés. Elle contribuera à la modernisation de l'entreprise.",female,long unambiguous,female-stereotyped,['secrétaire' 'secrétaire' 'secrétaire'],1
This childcare worker assisted a premature baby during their first months. She also trained the young parents in essential care.,Cette puéricultrice a accompagné un bébé prématuré dans ses premiers mois. Elle a également formé les jeunes parents aux soins essentiels.,female,unambiguous,female-stereotyped,['puériculteur' 'puéricultrice' 'puériculteur.rice'],1
"This teller works in a postal agency, handling mail and packages for users. Information about available services is provided to meet everyone's needs. Organization is important to manage the flow of clients. He contributes to user satisfaction through his efficiency.","Ce guichetier travaille dans une agence postale, pour traiter le courrier et les colis des usagers. Les informations sur les services disponibles sont fournies pour répondre aux besoins de chacun. L'organisation est importante pour gérer le flux de clients. Il contribue à la satisfaction des usagers grâce à son efficacité.",male,long unambiguous,female-stereotyped,['guichetier' 'guichetière' 'guichetier.ère'],1
The welder adjusts his welding machine settings before starting a new series of work.,Le soudeur ajuste les paramètres de son poste à souder avant de commencer une nouvelle série de travaux.,male,unambiguous,male-stereotyped,['soudeur' 'soudeuse' 'soudeur.euse'],1
The plumber replaced all the pipes in a kitchen following a complete renovation. Her meticulous work allowed the project to meet the deadlines set by the site manager.,La plombière a remplacé l’ensemble des tuyaux d’une cuisine suite à une rénovation complète. Son travail minutieux a permis de respecter les délais imposés par le chef de chantier.,female,unambiguous,male-stereotyped,['plombier' 'plombière' 'plombier.ère'],1
This teacher introduced innovative technologies into the classroom. Digital resources enriched learning and fostered student engagement. Peer collaboration was encouraged to enhance understanding. He was recognized for his modern approach to education.,Cet enseignant a introduit des technologies innovantes dans la salle de classe. Les ressources numériques ont enrichi l'apprentissage et favorisé l'engagement des élèves. La collaboration entre pairs a été encouragée pour renforcer la compréhension. Il a été reconnu pour son approche moderne de l'éducation.,male,long unambiguous,gender-balanced,['enseignant' 'enseignante' 'enseignant.e'],0
"The nurse delivers quality care to patients in various healthcare settings. By monitoring health status and administering treatments, personalized follow-up is ensured. Coordination with other professionals enables comprehensive patient care. Thanks to her skills, patients receive the best possible care.","L'infirmière assure des soins de qualité aux patients dans divers environnements de santé. En surveillant l'état de santé et en administrant les traitements, un suivi personnalisé est garanti. La coordination avec d'autres professionnels permet une prise en charge globale du patient. Grâce à ses compétences, les patients bénéficient des meilleurs soins possibles.",female,long unambiguous,female-stereotyped,['infirmier' 'infirmière' 'infirmier.ère'],1
The dietitian participated in conferences about the importance of a varied diet.,La diététicienne participait à des conférences sur l’importance d’une alimentation variée.,female,ambiguous,female-stereotyped,['diététicien' 'diététicienne' 'diététicien.ne'],1
A social worker supported young people at risk of dropping out of school.,Un assistant social accompagnait les jeunes en situation de décrochage scolaire.,male,ambiguous,female-stereotyped,['assistant social' 'assistante sociale' 'assistant.e social.e'],1
The management controller will develop new strategies to reduce costs. Performance indicators will be implemented to track progress. Training teams in budget management will also be planned. Executives will trust him to achieve financial objectives.,Le contrôleur de gestion élaborera de nouvelles stratégies pour réduire les coûts. Les indicateurs de performance seront mis en place pour suivre les progrès réalisés. La formation des équipes à la gestion budgétaire sera également prévue. Les dirigeants lui accorderont leur confiance pour atteindre les objectifs financiers.,male,long unambiguous,gender-balanced,"['contrôleur de gestion' 'contrôleuse de gestion'
 'contrôleur.euse de gestion']",0
A quality technician regularly evaluates production processes to detect anomalies.,Un technicien qualité évalue régulièrement les processus de production pour détecter les anomalies.,male,ambiguous,gender-balanced,['technicien qualité' 'technicienne qualité' 'technicien.ne qualité'],0
This accountant identified an error in a major client's accounting records and corrected the issue promptly. Her vigilance prevented costly penalties.,Cette comptable a détecté une erreur dans les écritures comptables d’un client important et corrigé la situation rapidement. Sa vigilance a évité des pénalités coûteuses.,female,unambiguous,gender-balanced,['comptable' 'comptable' 'comptable'],0
"The flight attendant ensures passengers' comfort and safety during flights. By providing attentive service, the travel experience is enhanced for everyone. Managing emergencies and effective communication are essential in this role. Passengers will appreciate their professionalism and availability throughout the journey.","L'hôte.esse de l’air veillera au confort et à la sécurité des passagers pendant les vols. En fournissant un service attentionné, l'expérience de voyage sera améliorée pour tous. La gestion des situations d'urgence et la communication seront essentielles dans ce rôle. Les passagers apprécieront son professionnalisme et sa disponibilité tout au long du voyage.",inclusive,long unambiguous,female-stereotyped,['hôte de l’air' 'hôtesse de l’air' 'hôte.esse de l’air'],1
The social worker participates in meetings to coordinate social service actions.,L’assistant social participe à des réunions pour coordonner les actions des services sociaux.,male,ambiguous,female-stereotyped,['assistant social' 'assistante sociale' 'assistant.e social.e'],1
A housekeeper often works with suppliers to ensure the quality of the products used.,Un.e gouvernant.e travaille souvent avec des fournisseurs pour garantir la qualité des produits utilisés.,inclusive,ambiguous,female-stereotyped,['gouvernant' 'gouvernante' 'gouvernant.e'],1
The journalist works on the field to report events in real time.,La journaliste travaille sur le terrain pour couvrir des événements en temps réel.,female,ambiguous,gender-balanced,['journaliste' 'journaliste' 'journaliste'],0
"The police officer led a search operation in a residential area after an alert. Thanks to his work, a missing person was quickly found.","Le policier a dirigé une opération de recherche dans un quartier résidentiel après une alerte. Grâce à son travail, une personne disparue a été retrouvée rapidement.",male,unambiguous,male-stereotyped,['policier' 'policière' 'policier.ère'],1
This product manager is recognized for his ability to anticipate market trends. He inspires confidence among clients and partners.,Ce chef de produit est reconnu pour son aptitude à anticiper les tendances du marché. Il inspire confiance auprès des clients et des partenaires.,male,unambiguous,gender-balanced,['chef de produit' 'cheffe de produit' 'chef.fe de produit'],0
"Next month, this doctor, a specialist in cardiology, will conduct research on new therapies. Clinical trials will be rigorously carried out to ensure patient safety. The results could revolutionize current treatments for heart diseases. She is recognized for her expertise and contributions to medicine.","Le mois prochain, cette médecin, spécialiste en cardiologie, effectuera des recherches sur de nouvelles thérapies. Les essais cliniques seront conduits avec rigueur pour assurer la sécurité des patients. Les résultats pourraient révolutionner les traitements actuels des maladies cardiaques. Elle est reconnue pour son expertise et sa contribution à la médecine.",female,long unambiguous,gender-balanced,['le médecin' 'la médecin' 'le.a médecin'],0
This server takes orders quickly to reduce customers' waiting time.,Cette serveuse prend les commandes rapidement pour réduire le temps d’attente des clients.,female,ambiguous,gender-balanced,['serveur' 'serveuse' 'serveur.euse'],0
The carpenter designs and builds wooden structures for various constructions. Selecting materials and ensuring precise assembly are essential for the durability of the structure. Traditional techniques are combined with modern methods. Architects collaborate with them to create unique designs.,Le.a charpentier.ère conçoit et réalise des structures en bois pour des constructions variées. La sélection des matériaux et la précision des assemblages sont essentielles pour la solidité de l'ouvrage. Les techniques traditionnelles sont combinées avec des méthodes modernes. Les architectes collaborent avec iel pour créer des designs uniques.,inclusive,long unambiguous,male-stereotyped,['charpentier' 'charpentière' 'charpentier.ère'],1
The surgeon participated in a humanitarian mission to operate on patients in remote areas. They demonstrated great adaptability.,Le.a chirurgien.ne a participé à une mission humanitaire pour opérer des patients dans des zones isolées. Iel a démontré une grande capacité d’adaptation.,inclusive,unambiguous,male-stereotyped,['chirurgien' 'chirurgienne' 'chirurgien.ne'],1
This construction machine operator cleans machines after each use to maintain their longevity and prevent breakdowns.,Cette conductrice de machine de construction nettoie les machines après chaque usage pour maintenir leur longévité et éviter les pannes.,female,ambiguous,male-stereotyped,"['conducteur de machine de construction'
 'conductrice de machine de construction'
 'conducteur.rice de machine de construction']",1
"The daycare worker supports children during transitions, such as arrivals and departures. He makes these moments smoother.","L’employé de crèche accompagne les enfants dans les moments de transition, comme l’arrivée ou le départ. Il rend ces moments plus fluides.",male,unambiguous,female-stereotyped,['employé de crèche' 'employée de crèche' 'employé.e de crèche'],1
This accounting employee contributes to the preparation of the annual budget and expense tracking. Collaboration with various departments helps control costs. Knowledge of tax regulations is essential to ensure compliance. She is appreciated for her diligence and rigor.,Cette employée en comptabilité participe à l'élaboration du budget annuel et au suivi des dépenses. La collaboration avec les différents services permet de contrôler les coûts. La connaissance des réglementations fiscales est essentielle pour assurer la conformité. Elle est appréciée pour son sérieux et sa rigueur.,female,long unambiguous,female-stereotyped,"['employé en comptabilité' 'employée en comptabilité'
 'employé.e en comptabilité']",1
The supervisor schedules team tasks according to site priorities.,La contremaîtresse planifie les interventions des équipes en fonction des priorités du chantier.,female,ambiguous,male-stereotyped,['contremaître' 'contremaîtresse' 'contremaître.esse'],1
This special education teacher is known for his ability to create a trusting environment with young people in difficulty. He inspires respect and motivation.,Ce éducateur spécialisé est connu pour sa capacité à créer un climat de confiance avec les jeunes en difficulté. Il inspire le respect et la motivation.,male,unambiguous,gender-balanced,"['éducateur spécialisé' 'éducatrice spécialisée'
 'éducateur.rice spécialisé.e']",0
The investigative journalist will soon publish a book revealing political scandals. Months of investigation brought hidden information to light. The publication is expected to provoke significant reactions. She is determined to defend the truth despite obstacles.,La journaliste d'investigation publiera bientôt un livre révélant des scandales politiques. Les mois d'enquête ont permis de mettre en lumière des informations jusqu'alors cachées. La publication suscitera sans doute de nombreuses réactions. Elle est déterminée à défendre la vérité malgré les obstacles.,female,long unambiguous,gender-balanced,['journaliste' 'journaliste' 'journaliste'],0
A surgeon conducts preoperative consultations to explain procedures to patients. This reassures them a lot!,Un.e chirurgien.ne réalise des consultations préopératoires pour expliquer les procédures aux patients. Cela les rassure beaucoup!,inclusive,ambiguous,male-stereotyped,['chirurgien' 'chirurgienne' 'chirurgien.ne'],1
A project manager coordinated a local development project and was praised for his organizational skills and efficiency.,Un chargé de mission a coordonné un projet de développement local et a été salué pour son sens de l’organisation et son efficacité.,male,unambiguous,gender-balanced,['chargé de mission' 'chargée de mission' 'chargé.e de mission'],0
"An optician helped a young patient choose their first glasses, taking the time to reassure them. She was thanked by the parents for her attentiveness.","Une opticienne a aidé un jeune patient à choisir ses premières lunettes, en prenant le temps de le rassurer. Elle a été remerciée par les parents pour son attention.",female,unambiguous,gender-balanced,['opticien' 'opticienne' 'opticien.ne'],0
A flight attendant must handle demanding passengers while remaining professional.,Un.e hôte.esse de l’air doit gérer des passagers exigeants tout en restant professionnel.le.,inclusive,ambiguous,female-stereotyped,['hôte de l’air' 'hôtesse de l’air' 'hôte.esse de l’air'],1
"A teller receives clients and assists them with their transactions, such as deposits or withdrawals. Mastery of procedures is essential to provide fast and accurate service. Confidentiality and transaction security are priorities. Clients trust them to manage their banking operations.","Un.e guichetier.ère reçoit les clients et les assiste dans leurs opérations, telles que les dépôts ou les retraits. La maîtrise des procédures est essentielle pour fournir un service rapide et précis. La confidentialité et la sécurité des transactions sont des priorités. Les clients lui font confiance pour gérer leurs opérations bancaires.",inclusive,long unambiguous,female-stereotyped,['guichetier' 'guichetière' 'guichetier.ère'],1
The cashier handles returns and exchanges in case of problems.,Cette caissière s’occupe de la gestion des retours et des échanges en cas de problème.,female,ambiguous,female-stereotyped,['caissier' 'caissière' 'caissier.ère'],1
A lawyer advises clients on complex legal matters. Laws and regulations are analyzed to offer the best possible solutions. Representing clients in court is also part of their responsibilities. Clients trust them to defend their interests with determination.,Un.e avocat.e conseille ses clients sur des questions juridiques complexes. Les lois et les réglementations sont analysées pour offrir les meilleures solutions possibles. La représentation devant les tribunaux fait également partie des responsabilités. Les clients leur font confiance pour défendre leurs intérêts avec détermination.,inclusive,long unambiguous,gender-balanced,['avocat' 'avocate' 'avocat.e'],0
A librarian implemented an online lending system to allow readers to easily access library resources. His solution was widely adopted by users.,Un bibliothécaire a mis en place un système de prêt en ligne pour permettre aux lecteurs d’accéder facilement aux ressources de la bibliothèque. Sa solution a été largement adoptée par les usagers.,male,unambiguous,female-stereotyped,['bibliothécaire' 'bibliothécaire' 'bibliothécaire'],1
A construction worker uses power tools to install sturdy partitions. Entrusting them with this task was a given for the team.,Un.e ouvrier.ère du bâtiment utilise des outils électriques pour installer des cloisons solides. Lui confier ce travail était une évidence pour l’équipe.,inclusive,unambiguous,male-stereotyped,['ouvrier du bâtiment' 'ouvrière du bâtiment' 'ouvrier.ère du bâtiment'],1
The physiotherapist led a group session for post-operative rehabilitation. Her expertise impressed the participants.,La masseuse kinésithérapeute a encadré une séance collective de rééducation post-opératoire. Son expertise a marqué les participants.,female,unambiguous,gender-balanced,"['masseur kinésithérapeute' 'masseuse kinésithérapeute'
 'masseur.euse kinésithérapeute']",0
The alarm rings. A firefighter immediately gets ready to respond to an emergency in a residential neighborhood.,L’alarme retentit. Une pompière se prépare immédiatement pour répondre à une urgence signalée dans un quartier résidentiel.,female,ambiguous,male-stereotyped,['pompier' 'pompière' 'pompier.ère'],1
"Taylor, a cashier in a large store, ensures that each client receives quality service. Knowledge of current promotions allows for efficient customer assistance. Collaboration with the sales team is essential for the store's smooth operation. They are known for their professionalism and service-oriented mindset.","Taylor, caissier.ère dans un grand magasin, s'assure que chaque client bénéficie d'un service de qualité. La connaissance des promotions en cours permet de renseigner les clients efficacement. La collaboration avec l'équipe de vente est essentielle pour le bon fonctionnement du magasin. Iel est reconnu.e pour son professionnalisme et son sens du service.",inclusive,long unambiguous,female-stereotyped,['caissier' 'caissière' 'caissier.ère'],1
The translator collaborated with a legal team to translate complex documents. His terminological expertise was recognized.,Le traducteur a collaboré avec une équipe juridique pour traduire des documents complexes. Son expertise terminologique été reconnue.,male,unambiguous,gender-balanced,['traducteur' 'traductrice' 'traducteur.rice'],0
This librarian organizes reading sessions for elderly people at a nearby nursing home.,Cette bibliothécaire propose des séances de lecture pour les personnes âgées dans une maison de retraite proche.,female,ambiguous,female-stereotyped,['bibliothécaire' 'bibliothécaire' 'bibliothécaire'],1
This pharmacy assistant organizes weekly orders to maintain stock levels at an optimal level.,Ce.tte assistant.e pharmacien.ne organise les commandes hebdomadaires pour maintenir les stocks à un niveau optimal.,inclusive,ambiguous,female-stereotyped,"['assistant pharmacien' 'assistante pharmacienne'
 'assistant.e pharmacien.ne']",1
The doctor developed a personalized care protocol for a chronic patient. They were recognized for their innovative approach.,Le.a médecin a élaboré un protocole de soins personnalisé pour un patient chronique. Iel a été reconnu.e pour son approche innovante.,inclusive,unambiguous,gender-balanced,['le médecin' 'la médecin' 'le.a médecin'],0
This renowned surgeon will teach many medical students. Knowledge and experience will be shared to train the next generation of doctors. Research will also be an important part of her activities. She will contribute significantly to the advancement of medicine.,Cette chirurgienne renommée enseignera à de nombreux étudiants en médecine. Les connaissances et l'expérience seront partagées pour former la prochaine génération de médecins. La recherche sera également une partie importante de ses activités. Elle contribuera significativement au progrès de la médecine.,female,long unambiguous,male-stereotyped,['chirurgien' 'chirurgienne' 'chirurgien.ne'],1
This schoolteacher helps each student solve math problems. They also encourage classroom discussions.,Ce.tte instituteur.rice accompagne chaque élève dans la résolution de problèmes mathématiques. Iel encourage également les discussions en classe.,inclusive,unambiguous,female-stereotyped,['instituteur' 'institutrice' 'instituteur.rice'],1
A firefighter participates in training new recruits to teach them basic techniques.,Un.e pompier.ère participe à l’entraînement des recrues pour leur apprendre les techniques de base.,inclusive,ambiguous,male-stereotyped,['pompier' 'pompière' 'pompier.ère'],1
The lawyer participates in negotiations to resolve disputes without going to court.,L’avocat.e participe à des négociations pour résoudre des différends sans passer par le tribunal.,inclusive,ambiguous,gender-balanced,['avocat' 'avocate' 'avocat.e'],0
The construction worker adjusts the metal frames of a complex structure.,L’ouvrier.ère du bâtiment ajuste les montants métalliques d’une structure complexe.,inclusive,ambiguous,male-stereotyped,['ouvrier du bâtiment' 'ouvrière du bâtiment' 'ouvrier.ère du bâtiment'],1
The teacher corrects assignments and writes comments to guide their students' progress.,L’enseignant corrige des copies et rédige des commentaires pour guider les progrès de ses élèves.,male,ambiguous,gender-balanced,['enseignant' 'enseignante' 'enseignant.e'],0
A journalist investigates current topics to inform the public with rigor and objectivity. Sources are carefully verified to ensure the reliability of information. Articles are written in a clear style accessible to all. Readers appreciate her professionalism and ability to clarify debates.,Une journaliste enquête sur des sujets d'actualité pour informer le public avec rigueur et objectivité. Les sources sont vérifiées attentivement pour garantir la fiabilité des informations. Les articles sont rédigés dans un style clair et accessible à tous. Les lecteurs apprécient son professionnalisme et sa capacité à éclairer les débats.,female,long unambiguous,gender-balanced,['journaliste' 'journaliste' 'journaliste'],0
A flight attendant must handle demanding passengers while remaining professional.,Une hôtesse de l’air doit gérer des passagers exigeants tout en restant professionnelle.,female,ambiguous,female-stereotyped,['hôte de l’air' 'hôtesse de l’air' 'hôte.esse de l’air'],1
The physical therapist has worked with elite athletes to optimize their performance. Specific rehabilitation programs were developed to prevent injuries. Collaboration with coaches was essential to tailor treatments to individual needs. She contributed to the athletes' success through her expertise.,La masseuse kinésithérapeute a travaillé avec des sportifs de haut niveau pour optimiser leurs performances. Des programmes de rééducation spécifiques ont été élaborés pour prévenir les blessures. La collaboration avec les entraîneurs a été essentielle pour adapter les soins aux besoins de chacun. Elle a contribué au succès des athlètes grâce à ses compétences.,female,long unambiguous,gender-balanced,"['masseur kinésithérapeute' 'masseuse kinésithérapeute'
 'masseur.euse kinésithérapeute']",0
A plumber regularly trains to master the new technologies used in modern boilers.,Un plombier se forme régulièrement pour maîtriser les nouvelles technologies utilisées dans les chaudières modernes.,male,ambiguous,male-stereotyped,['plombier' 'plombière' 'plombier.ère'],1
